Vuosi;Tunnusluku;Helsingin seudun liikenne;Hämeenlinna;Lahti;Riihimäki;Hyvinkää;Lappeenranta;Imatra;Kotka;Kouvola;Mikkeli;Savonlinna;Joensuu;Kuopio;Kokkola;Seinäjoki;Vaasa;Jyväskylä;Tampere;Turku;Pori;Rauma;Salo;Oulu;Kajaani;Kemi;Rovaniemi;Uusimaa;Kaakkois-Suomi;Pohjois-Savo;Etelä-Pohjanmaa;Keski-Suomi;Pirkanmaa;Varsinais-Suomi;Pohjois-Pohjanmaa;Lappi
2013;Joukkoliikenteen lippualue;HSL;Hämeenlinna;Lahti;Riihimäki;Hyvinkää;Lappeenranta;Imatra;Kotka;Kouvola;Mikkeli;Savonlinna;Joensuu;Kuopio;Kokkola;Seinäjoki;Vaasa;Jyväskylä;Tampere;Turku;Pori;Rauma;Salo;Oulu;Kajaani;Kemi;Rovaniemi;;;;;;;;;
2013;Toimivaltainen viranomainen:;HSL;Hämeenlinna;Lahti;Riihimäki;Hyvinkää;Lappeenranta;Imatra;Kotka;Kouvola;Mikkeli;Savonlinna;Joensuu;Kuopio;Kokkola;Seinäjoki;Vaasa;Jyväskylä;Tampere;Turku;Pori;Rauma;Salo;Oulu;Kajaani;Kemi;Rovaniemi;UUD-ELY;KaS-ELY;PoS-ELY;EPO-ELY;KES-ELY;PIR-ELY;VAR-ELY;POP-ELY;LAP-ELY
2013;Kausilipun hinta vyöhyke 1 (30 päivää, aikuinen) (€);46,5;49;0;45,6;0;54;54;52;45;0;54,55;60;53; ;30;34;62;46;48;0;36;0;50;0;42,5;52;0;0;0;0;0;0;0;0;0
2013;Kausilipun hinta vyöhyke 2 (30 päivää, aikuinen) (€);95,8;65;0;0;0;0;0;52;0;0;0;71;0; ;0;65;87;0;0;0;0;0;75;0;0;64;0;0;0;0;0;0;0;0;0
2013;Kausilipun hinta vyöhyke 3 (30 päivää, aikuinen) (€);142,6;0;0;0;0;0;0;52;0;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;Kausilipun hinta vyöhyke 4 (30 päivää, aikuinen) (€);0;0;0;0;0;0;0;52;0;0;0;138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;Kausilipun hinta vyöhyke 5 (30 päivää, aikuinen) (€);0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;Kausilipun hinta vyöhyke 6 (30 päivää, aikuinen) (€);0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;Liikenteen ostot, € (siirtymäkaudella);4713125;613272;0;0;0;159821;213290;150700;88747;0;0;124000;136027,8;573000;218500;100000;100577;1187000;600000;523956,35;0;0;665136;0;26353,11;115720;1175760;230422;888576,0818;724300;0;112224,67;1177279,618;323000;232865
2013;Hintojen alentaminen, € (siirtymäkaudella);1108423;367022;0;45714,91;0;415565;66000;565600;463868;0;0;345000;988162,2;59000;73400;295000;954538;1200000;400000;519730,9;0;0;1848707;0;136377,12;285480;1018146;149915;1850073,316;464913;244067;327119,03;1081090,909;97457;443207
2013;Sopimuskorvaukset, €;0;0;0;166163,4;0;0;0;45200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;933000;0;2540585;0;1248009,36;770596,6545;4221274;0
2013;Joukkoliikenteen kehittäminen - informaatio ja maksujärjestelmien kehittäminen, €;0;0;0;2678,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500000;7521,82;0;0;114855;0;1780;0;0;0;0;0;0;0;0;0;0
2013;Joukkoliikenteen kehittäminen - matkakeskusten tai  matkapalvelukeskusten kehittäminen, €;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;Joukkoliikenteen kehittäminen - muu kehittäminen, €;0;4706;0;0;0;26576;0;13500;0;0;0;0;0;0;7000;0;0;50000;0;5154,55;0;0;0;0;0;0;;;;;;;;;
2013;Valtion rahoitus yhteensä;5821548;985000;0;214556,88;0;601962;279290;775000;552615;0;0;469000;1124190;632000;298900;395000;1056455;2437000;1500000;1056363,62;0;0;2628698;0;164510,23;401200;2250493;1313337;2738649,398;3848062;256567;1690727,53;3109612,343;4694731;682813
2013;Tarjouskohteiden määrä (Brutto + KOS);8;26;0;0;0;0;0;0;0;0;0;0;12;0;0;0;5;6;6;0;0;0;12;0;0;5;19;0;0;21;0;21;16;56;8
2013;Saatujen tarjousten määrä yhteensä (Brutto + KOS);24;39;0;0;0;0;0;0;0;0;0;0;33;0;0;0;14;23;13;0;0;0;38;0;0;26;52;0;0;55;0;32;55;163;23
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;Brutto: Nousijat vuodessa;345239000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30457504;21000000;0;230678;0;0;0;0;25383;0;0;0;0;0;0;0;56265;0
2013;Brutto: Nousijat kuukaudessa;28769916,67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2538125,333;1750000;0;19223,16667;0;0;0;0;2115,25;0;0;0;0;0;0;0;4688,75;0
2013;Brutto: Linjakilometrit vuodessa;93010366,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12853121;0;0;405947;0;0;0;0;172000;0;0;0;0;0;0;0;320214;0
2013;Brutto: Linjakilometrit kuukaudessa;7750863,867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1071093,417;0;0;33828,91667;0;0;0;0;14333,33333;0;0;0;0;0;0;0;26684,5;0
2013;Brutto: Lähdöt vuodessa;6292163,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;877600;1000000;0;0;0;0;0;0;5118;0;0;0;0;0;0;0;0;0
